ENCODEURL|dZjWi|SC_OPCODE_ENCODEURL|Return a URL-encoded string.|avFqs|HID_FUNC_ENCODEURL||
MIN|A8sBe|SC_OPCODE_MIN|Returns the minimum value in a list of arguments.|qc9kx|HID_FUNC_MIN|Returns the minimum value in a list of arguments.Returns 0 if no numeric value and no error was encountered in the cell range(s) passed as cell reference(s). Text cells are ignored by MIN() and MAX(). The functions MINA() and MAXA() return 0 if no value (numeric or text) and no error was encountered. Passing a literal string argument to MIN() or MAX(), e.g. MIN("string"), still results in an error.|
DATEDIF|U5n64|SC_OPCODE_GET_DATEDIF|Returns the number of whole days, months or years between 'start date' and 'end date'.|DPFXB|HID_FUNC_DATEDIF||
DAYS360|YwiBE|SC_OPCODE_GET_DIFF_DATE_360|Calculates the number of days between two dates based on a 360-day year.|kAGux|HID_FUNC_TAGE360|Returns the difference between two dates based on the 360 day year used in interest calculations.|
DAYS|hhwRD|SC_OPCODE_GET_DIFF_DATE|Calculates the number of days between two dates.|XukFr|HID_FUNC_TAGE|Calculates the difference between two date values. The result returns the number of days between the two days.|
TIME|SdChB|SC_OPCODE_GET_TIME|Determines a time value from the details for hour, minute and second.|6GiJx|HID_FUNC_ZEIT|TIME returns the current time value from values for hours, minutes and seconds. This function can be used to convert a time based on these three elements to a decimal time value.|
DATE|DGufs|SC_OPCODE_GET_DATE|Provides an internal number for the date given.|qsXz8|HID_FUNC_DATUM|This function returns the number of whole days, months or years between Start date and End date.|
SUMXMY2|rTo2W|SC_OPCODE_SUM_XMY2|Returns the sum of squares of differences of two arrays.|qp53A|HID_FUNC_SUMMEXMY2|Adds the squares of the variance between corresponding values in two arrays.|
SUMX2PY2|GZ3Xb|SC_OPCODE_SUM_X2DY2|Returns the total of the square sum of two arrays.|F2zCT|HID_FUNC_SUMMEX2PY2|Returns the sum of the sum of squares of corresponding values in two arrays.|
SUMX2MY2|9EAHv|SC_OPCODE_SUM_X2MY2|Returns the sum of the difference of squares of two arrays.|wwmB3|HID_FUNC_SUMMEX2MY2|Returns the sum of the difference of squares of corresponding values in two arrays.|
SUMSQ|9VBjs|SC_OPCODE_SUM_SQ|Returns the sum of the squares of the arguments.|KiAsa|HID_FUNC_QUADRATESUMME|If you want to calculate the sum of the squares of numbers (totaling up of the squares of the arguments), enter these into the text fields.|
SUMPRODUCT|8vgZ6|SC_OPCODE_SUM_PRODUCT|(Inner products) Returns the sum of the products of array arguments.|3D7PY|HID_FUNC_SUMMENPRODUKT|Multiplies corresponding elements in the given arrays, and returns the sum of those products.|
MOD|UqrDX|SC_OPCODE_MOD|Calculates the remainder of a division.|Q3w6r|HID_FUNC_REST|Returns the remainder when one integer is divided by another.|
LCM|yEFDv|SC_OPCODE_LCM|Lowest common multiple|BvcLj|HID_FUNC_KGV|Returns the least common multiple of one or more integers.|
GCD|xpVGW|SC_OPCODE_GCD|Greatest Common Divisor|RDCaG|HID_FUNC_GGT|Returns the greatest common divisor of two or more integers.The greatest common divisor is the positive largest integer which will divide, without remainder, each of the given integers.|
POWER|gjfAD|SC_OPCODE_POWER|Returns a^b, base a raised to the power of exponent b.|Er28a|HID_FUNC_POTENZ|Returns a number raised to another number.|
LOG|4W5tE|SC_OPCODE_LOG|Calculates the logarithm to any specified base.|8nCiV|HID_FUNC_LOG|Returns the logarithm of a number to the specified base.|
TRUNC|Uhcfm|SC_OPCODE_TRUNC|Truncates the decimal places of a number.|LnDPt|HID_FUNC_KUERZEN|Truncates a number by removing decimal places.|
ROUNDDOWN|xJL6s|SC_OPCODE_ROUND_DOWN|Rounds a number down to a predefined accuracy.|LGhzJ|HID_FUNC_ABRUNDEN|Rounds a number down, toward zero, to a certain precision.|
ROUNDUP|WLbXP|SC_OPCODE_ROUND_UP|Rounds a number up to the predefined accuracy.|q7MQx|HID_FUNC_AUFRUNDEN|Rounds a number up, away from zero, to a certain precision.|
ROUND|CY3TR|SC_OPCODE_ROUND|Rounds a number to a predefined accuracy.|wNcCu|HID_FUNC_RUNDEN|Rounds a number to a certain number of decimal places.|
FLOOR.PRECISE|nhi9Y|SC_OPCODE_FLOOR_PRECISE|Rounds number down (towards -∞) to the nearest multiple of significance.|6hRjb|HID_FUNC_FLOOR_PRECISE||
FLOOR.MATH|gmD4Q|SC_OPCODE_FLOOR_MATH|Rounds number down to the nearest multiple of significance, regardless of sign of significance.|BAQbD|HID_FUNC_FLOOR_MATH||
FLOOR.XCL|ur29F|SC_OPCODE_FLOOR_MS|Rounds number towards zero to the nearest multiple of absolute value of significance.|Wq2vB|HID_FUNC_FLOOR_MS|Rounds a number down to the nearest multiple of Significance, regardless of sign of Significance|
FLOOR|ycZvf|SC_OPCODE_FLOOR|Rounds number down to the nearest multiple of significance.|Cd6yK|HID_FUNC_UNTERGRENZE|Rounds a number down to the nearest multiple of Significance.|
ISO.CEILING|pNr7X|SC_OPCODE_CEIL_ISO|Rounds a number up to the nearest multiple of significance, regardless of sign of significance.|c62ev|HID_FUNC_CEIL_ISO|Rounds a number up to the nearest multiple of Significance, regardless of sign of Significance|
CEILING.PRECISE|EWtPT|SC_OPCODE_CEIL_PRECISE|Rounds a number up to the nearest multiple of significance, regardless of sign of significance.|8s4JR|HID_FUNC_CEIL_PRECISE||
CEILING.XCL|6sYhp|SC_OPCODE_CEIL_MS|Rounds a number up to the nearest multiple of significance.|ay4wy|HID_FUNC_CEIL_MS|Rounds a number up to the nearest multiple of Significance, regardless of sign of Significance|
CEILING|dVRCa|SC_OPCODE_CEIL|Rounds a number up to the nearest multiple of significance.|7ydFr|HID_FUNC_OBERGRENZE|Rounds a number up to the nearest multiple of Significance.|
CEILING.MATH|njCpy|SC_OPCODE_CEIL_MATH|Rounds a number up to the nearest multiple of significance.|oyegx|HID_FUNC_CEIL_MATH||
ATAN2|WJmDE|SC_OPCODE_ARC_TAN_2|Returns the arctangent for the specified coordinates.|iAvZt|HID_FUNC_ARCTAN2|Returns the inverse trigonometric tangent of the specified x and y coordinates.|
ARABIC|7NjFV|SC_OPCODE_ARABIC|Calculates the value of a Roman numeral.|wBFV5|HID_FUNC_ARABISCH|Calculates the value of a Roman number. The value range must be between 0 and 3999.|
FORMULA|EEoqA|SC_OPCODE_FORMULA|Returns the formula of a formula cell.|yoMKF|HID_FUNC_FORMEL|Displays the formula of a formula cell as a text string.|
ERROR.TYPE|HeuD3|SC_OPCODE_ERROR_TYPE_ODF|Returns a number corresponding to one of the error values or #N/A if no error exists|e5jFF|HID_FUNC_ERROR_TYPE_ODF||
ERRORTYPE|yXFM2|SC_OPCODE_ERROR_TYPE|Returns a number corresponding to an error type|HPTun|HID_FUNC_FEHLERTYP|Returns the number corresponding to an error value occurring in a different cell. With the aid of this number, you can generate an error message text.The Status Bar displays the predefined error code from %PRODUCTNAME if you click the cell containing the error.|
GAMMALN.PRECISE|BFK3d|SC_OPCODE_GAMMA_LN_MS|Returns the natural logarithm of the gamma function.|V4A8G|HID_FUNC_GAMMALN_MS|Returns the natural logarithm of the Gamma function: G(x).|
GAMMALN|47Wom|SC_OPCODE_GAMMA_LN|Returns the natural logarithm of the gamma function.|VzGA5|HID_FUNC_GAMMALN|Returns the natural logarithm of the Gamma function: G(x).|
NORM.S.INV|iRZfe|SC_OPCODE_S_NORM_INV_MS|Values of the inverse standard normal distribution.|atGEy|HID_FUNC_STD_NORMINV_MS|Returns the inverse of the standard normal cumulative distribution.|
NORMSINV|7UzHs|SC_OPCODE_S_NORM_INV|Values of the inverse standard normal distribution.|4GrmW|HID_FUNC_STANDNORMINV|Returns the inverse of the standard normal cumulative distribution.|
FISHERINV|kAD5g|SC_OPCODE_FISHER_INV|Returns the inverse of the Fisher transformation.|9FitE|HID_FUNC_FISHERINV|Returns the inverse of the Fisher transformation for x and creates a function close to a normal distribution.|
FISHER|CFRXx|SC_OPCODE_FISHER|Returns the Fisher transformation.|KyKqX|HID_FUNC_FISHER|Returns the Fisher transformation for x and creates a function close to a normal distribution.|
NORM.S.DIST|WBCAe|SC_OPCODE_STD_NORM_DIST_MS|The values of the standard normal distribution.|wKBLh|HID_FUNC_STD_NORMDIST_MS|Returns the standard normal cumulative distribution function. The distribution has a mean of zero and a standard deviation of one.|
NORMSDIST|7UCkN|SC_OPCODE_STD_NORM_DIST|The values of the standard normal cumulative distribution.|Evrir|HID_FUNC_STANDNORMVERT|Returns the standard normal cumulative distribution function. The distribution has a mean of zero and a standard deviation of one.It is GAUSS(x)=NORMSDIST(x)-0.5|
ODD|v7KpB|SC_OPCODE_ODD|Rounds a positive number up and negative number down to the nearest odd integer.|5PBxi|HID_FUNC_UNGERADE|Rounds a positive number up to the nearest odd integer and a negative number down to the nearest odd integer.|
EVEN|nUDpu|SC_OPCODE_EVEN|Rounds a positive number up and negative number down to the nearest even integer.|3xVxu|HID_FUNC_GERADE|Rounds a positive number up to the next even integer and a negative number down to the next even integer.|
LOG10|Wk9UM|SC_OPCODE_LOG10|Calculates the base-10 logarithm of a number.|aUufD|HID_FUNC_LOG10|Returns the base-10 logarithm of a number.|
UNICHAR|K4Hp6|SC_OPCODE_UNICHAR|Converts a code number into a Unicode character or letter.|ASKRi|HID_FUNC_UNICHAR||
UNICODE|exveD|SC_OPCODE_UNICODE|Returns the numeric code for the first Unicode character in a text string.|E6uXf|HID_FUNC_UNICODE||
ASC|Dkdzq|SC_OPCODE_ASC|Converts full-width ASCII and katakana characters to half-width.|SS5st|HID_FUNC_ASC||
JIS|MTzce|SC_OPCODE_JIS|Converts half-width ASCII and katakana characters to full-width.|dUEns|HID_FUNC_JIS||
CHAR|pDGCA|SC_OPCODE_CHAR|Converts a code number into a character or letter.|quG7s|HID_FUNC_ZEICHEN|Converts a number into a character according to the current code table. The number can be a two-digit or three-digit integer number.|
CLEAN|Jct8K|SC_OPCODE_CLEAN|Removes all nonprintable characters from text.|hXFnv|HID_FUNC_SAEUBERN|All non-printing characters are removed from the string.|
VALUE|4X6Ex|SC_OPCODE_VALUE|Converts text to a number.|UvTCu|HID_FUNC_WERT|Converts a text string into a number.|
T|w8Lza|SC_OPCODE_T|Returns a value if it is text, otherwise an empty string.|EAnZ8|HID_FUNC_T|This function returns the target text, or a blank text string if the target is not text.|
LEN|VbpJi|SC_OPCODE_LEN|Calculates length of a text string.|WAQVo|HID_FUNC_LAENGE|Returns the length of a string including spaces.|
LOWER|MFEFq|SC_OPCODE_LOWER|Converts text to lowercase.|2ozNP|HID_FUNC_KLEIN|Converts all uppercase letters in a text string to lowercase.|
PROPER|oE8Fv|SC_OPCODE_PROPER|Capitalizes the first letter in all words.|GbgGk|HID_FUNC_GROSS2|Capitalizes the first letter in all words of a text string.|
UPPER|p6ktK|SC_OPCODE_UPPER|Converts text to uppercase.|YqWcu|HID_FUNC_GROSS|Converts the string specified in the text field to uppercase.|
TRIM|99CbY|SC_OPCODE_TRIM|Removes extra spaces from text.|PYeYD|HID_FUNC_GLAETTEN|Removes spaces from a string, leaving only a single space character between words.|
CODE|jhVGi|SC_OPCODE_CODE|Returns a numeric code for the first character in a text string.|yH8rL|HID_FUNC_CODE|Returns a numeric code for the first character in a text string.|
TIMEVALUE|JBEzi|SC_OPCODE_GET_TIME_VALUE|Returns a sequential number for a text shown in a possible time entry format.|Y7zoc|HID_FUNC_ZEITWERT|TIMEVALUE returns the internal time number from a text enclosed by quotes and which may show a possible time entry format.The internal number indicated as a decimal is the result of the date system used under $[officename] to calculate date entries.If the text string also includes a year, month, or day, TIMEVALUE only returns the fractional part of the conversion.|
DATEVALUE|GVhAE|SC_OPCODE_GET_DATE_VALUE|Returns an internal number for a text having a possible date format.|m4sFj|HID_FUNC_DATWERT|Returns the internal date number for text in quotes.The internal date number is returned as a number. The number is determined by the date system that is used by $[officename] to calculate dates.If the text string also includes a time value, DATEVALUE only returns the integer part of the conversion.|
N|5oZ7J|SC_OPCODE_N|Converts a value to a number.|CAdYx|HID_FUNC_N|Returns the numeric value of the given parameter. Returns 0 if parameter is text or FALSE.If an error occurs the function returns the error value.|
ISODD|JeDEv|SC_OPCODE_IS_ODD|Returns TRUE if value is an odd integer.|iZpWD|HID_FUNC_ISTUNGERADE|Returns TRUE if the value is odd, or FALSE if the number is even.|
ISEVEN|Ar3BU|SC_OPCODE_IS_EVEN|Returns TRUE if value is an even integer.|LUFep|HID_FUNC_ISTGERADE|Returns TRUE if the value is an even integer, or FALSE if the value is odd.|
ISERROR|oBaLE|SC_OPCODE_IS_ERROR|Returns TRUE if the value is an error value.|7ANAd|HID_FUNC_ISTFEHLER|Tests for error conditions, including the #N/A error value, and returns TRUE or FALSE.|
ISERR|aqLQv|SC_OPCODE_IS_ERR|Returns TRUE if the value is an error value not equal to #N/A.|wuFYe|HID_FUNC_ISTFEHL|Tests for error conditions, except the #N/A error value, and returns TRUE or FALSE.|
ISNA|KE9aD|SC_OPCODE_IS_NV|Returns TRUE if value equals #N/A.|ho9E8|HID_FUNC_ISTNV|Returns TRUE if a cell contains the #N/A (value not available) error value.If an error occurs, the function returns FALSE.|
ISFORMULA|mkExD|SC_OPCODE_IS_FORMULA|Returns TRUE if the cell is a formula cell.|CSGLS|HID_FUNC_ISTFORMEL|Returns TRUE if a cell is a formula cell.|
ISNUMBER|7UAED|SC_OPCODE_IS_VALUE|Returns TRUE if value is a number.|CxKA5|HID_FUNC_ISTZAHL|Returns TRUE if the value refers to a number.|
ISREF|u2cHy|SC_OPCODE_IS_REF|Returns TRUE if value is a reference.|Tm96B|HID_FUNC_ISTBEZUG|Tests if the argument is a reference. Returns TRUE if the argument is a reference, returns FALSE otherwise. When given a reference this function does not examine the value being referenced.i82565|
CELL|GCcod|SC_OPCODE_CELL|Determines information about address, formatting or contents of a cell.|7968z|HID_FUNC_ZELLE|Returns information on address, formatting or contents of a cell.|
TYPE|9oYWD|SC_OPCODE_TYPE|Defines the data type of a value.|5mXzG|HID_FUNC_TYP|Returns the type of value.|
ISLOGICAL|58WAk|SC_OPCODE_IS_LOGICAL|Returns TRUE if the value carries a logical number format.|CGCT4|HID_FUNC_ISTLOG|Tests for a logical value (TRUE or FALSE).If an error occurs, the function returns FALSE.|
ISNONTEXT|D2qcE|SC_OPCODE_IS_NON_STRING|Returns TRUE if the value is not text.|fVpVN|HID_FUNC_ISTKTEXT|Tests if the cell contents are text or numbers, and returns FALSE if the contents are text.If an error occurs, the function returns TRUE.|
ISTEXT|hLDhs|SC_OPCODE_IS_STRING|Returns TRUE if value is text.|uPGoY|HID_FUNC_ISTTEXT|Returns TRUE if the cell contents refer to text.If an error occurs, the function returns FALSE.|
ISBLANK|pvqAh|SC_OPCODE_IS_EMPTY|Returns TRUE if value refers to an empty cell.|ktJFT|HID_FUNC_ISTLEER|Returns TRUE if the reference to a cell is blank. This function is used to determine if the content of a cell is empty. A cell with a formula inside is not empty. |
GAUSS|MtbiB|SC_OPCODE_GAUSS|Returns the integral values of the standard normal cumulative distribution.|6ucMp|HID_FUNC_GAUSS|Returns the standard normal cumulative distribution.It is GAUSS(x)=NORMSDIST(x)-0.5|
PHI|tGkmF|SC_OPCODE_PHI|Values of the distribution function for a standard normal distribution.|onN3z|HID_FUNC_PHI|Returns the values of the distribution function for a standard normal distribution.|
INT|DXYe4|SC_OPCODE_INT|Rounds a number down to the nearest integer.|bSPVD|HID_FUNC_GANZZAHL|Rounds a number down to the nearest integer.|
ABS|uETgj|SC_OPCODE_ABS|Absolute value of a number.|BKTRA|HID_FUNC_ABS|Returns the absolute value of a number.|
SIGN|CFEFE|SC_OPCODE_PLUS_MINUS|Returns the algebraic sign of a number.|zunhV|HID_FUNC_VORZEICHEN|Returns the sign of a number. Returns 1 if the number is positive, -1 if negative and 0 if zero.|
SECOND|GbCuP|SC_OPCODE_GET_SEC|Determines the sequential number of the second of a minute (0-59) for the time value.|4i3C8|HID_FUNC_SEKUNDE|Returns the second for the given time value. The second is given as an integer between 0 and 59.|
MINUTE|LugxT|SC_OPCODE_GET_MIN|Determines the sequential number for the minute of the hour (0-59) for the time value.|6p5KS|HID_FUNC_MINUTE|Calculates the minute for an internal time value. The minute is returned as a number between 0 and 59.|
HOUR|PebmG|SC_OPCODE_GET_HOUR|Determines the sequential number of the hour of the day (0-23) for the time value.|kDrEv|HID_FUNC_STUNDE|Returns the hour for a given time value. The hour is returned as an integer between 0 and 23.|
DAY|FRbna|SC_OPCODE_GET_DAY|Returns the sequential date of the month as an integer (1-31) in relation to the date value.|RNiJ8|HID_FUNC_TAG|Returns the day of given date value. The day is returned as an integer between 1 and 31. You can also enter a negative date/time value.|
MONTH|nFtDb|SC_OPCODE_GET_MONTH|Determines the sequential number of a month of the year (1-12) for the date value.|ZFtrg|HID_FUNC_MONAT|Returns the month for the given date value. The month is returned as an integer between 1 and 12.|
YEAR|MmbCB|SC_OPCODE_GET_YEAR|Returns the year of a date value as an integer.|fBL9C|HID_FUNC_JAHR|Returns the year as a number according to the internal calculation rules.|
FACT|63eDf|SC_OPCODE_FACT|Calculates the factorial of a number.|odv6Q|HID_FUNC_FAKULTAET|Returns the factorial of a number.|
SQRT|z9uq5|SC_OPCODE_SQRT|Returns the square root of a number.|TKSrD|HID_FUNC_WURZEL|Returns the positive square root of a number.|
LN|nVBzP|SC_OPCODE_LN|Calculates the natural logarithm of a number.|ZkEAK|HID_FUNC_LN|Returns the natural logarithm based on the constant e of a number. The constant e has a value of approximately 2.71828182845904.|
EXP|oBARu|SC_OPCODE_EXP|Calculates the exponent for basis e.|kC3EP|HID_FUNC_EXP|Returns e raised to the power of a number. The constant e has a value of approximately 2.71828182845904.|
SECH|Rw5oL|SC_OPCODE_SECANT_HYP|Return the hyperbolic secant of a hyperbolic angle. SECH(x)=1/COSH(x)|QTvfd|HID_FUNC_SECANTHYP|Returns the hyperbolic secant of a number.|
CSCH|HYzDE|SC_OPCODE_COSECANT_HYP|Return the hyperbolic cosecant of a hyperbolic angle. CSCH(x)=1/SINH(x)|CcKu4|HID_FUNC_COSECANTHYP|Returns the hyperbolic cosecant of a number.|
SEC|ngmPB|SC_OPCODE_SECANT|Return the secant of an angle. SEC(x)=1/COS(x)|9FN7X|HID_FUNC_SECANT|Returns the secant of the given angle (in radians). The secant of an angle is equivalent to 1 divided by the cosine of that angle|
CSC|CE3d6|SC_OPCODE_COSECANT|Return the cosecant of an angle. CSC(x)=1/SIN(x)|MhXZG|HID_FUNC_COSECANT|Returns the cosecant of the given angle (in radians). The cosecant of an angle is equivalent to 1 divided by the sine of that angle|
ACOTH|mE2Fx|SC_OPCODE_ARC_COT_HYP|Returns the inverse hyperbolic cotangent of a number.|tDEYM|HID_FUNC_ARCOTHYP|Returns the inverse hyperbolic cotangent of the given number.|
ATANH|N89xF|SC_OPCODE_ARC_TAN_HYP|Returns the inverse hyperbolic tangent of a number.|VwxcD|HID_FUNC_ARTANHYP|Returns the inverse hyperbolic tangent of a number.|
ACOSH|TH8Se|SC_OPCODE_ARC_COS_HYP|Returns the inverse hyperbolic cosine of a number.|bbYEb|HID_FUNC_ARCOSHYP|Returns the inverse hyperbolic cosine of a number.|
ASINH|8EcST|SC_OPCODE_ARC_SIN_HYP|Returns the inverse hyperbolic sine of a number.|gp9Hy|HID_FUNC_ARSINHYP|Returns the inverse hyperbolic sine of a number.|
COTH|kyGMR|SC_OPCODE_COT_HYP|Returns the hyperbolic cotangent of a number.|Tuj5q|HID_FUNC_COTHYP|Returns the hyperbolic cotangent of a given number (angle).|
TANH|TMUhN|SC_OPCODE_TAN_HYP|Returns the hyperbolic tangent of a number.|E2SFh|HID_FUNC_TANHYP|Returns the hyperbolic tangent of a number.|
COSH|GJRdd|SC_OPCODE_COS_HYP|Returns the hyperbolic cosine of a number.|bw73s|HID_FUNC_COSHYP|Returns the hyperbolic cosine of a number.|
SINH|WmLQN|SC_OPCODE_SIN_HYP|Returns the hyperbolic sine of a number.|M3F5C|HID_FUNC_SINHYP|Returns the hyperbolic sine of a number.|
ACOT|zY4DB|SC_OPCODE_ARC_COT|Returns the inverse cotangent of a number.|S7HCA|HID_FUNC_ARCCOT|Returns the inverse cotangent (the arccotangent) of the given number.|
ATAN|kwCpZ|SC_OPCODE_ARC_TAN|Returns the arctangent of a number.|ScWjt|HID_FUNC_ARCTAN|Returns the inverse trigonometric tangent of a number.|
ACOS|SYMW7|SC_OPCODE_ARC_COS|Returns the arccosine of a number.|xJHpC|HID_FUNC_ARCCOS|Returns the inverse trigonometric cosine of a number.|
ASIN|Kfoej|SC_OPCODE_ARC_SIN|Returns the arcsine of a number.|AHZyT|HID_FUNC_ARCSIN|Returns the inverse trigonometric sine of a number.|
COT|LbQTN|SC_OPCODE_COT|Returns the cotangent of a number.|Vg6M3|HID_FUNC_COT|Returns the cotangent of the given angle (in radians).|
TAN|hnuwv|SC_OPCODE_TAN|Returns the tangent of a number.|i3kZt|HID_FUNC_TAN|Returns the tangent of the given angle (in radians).|
COS|SkGGz|SC_OPCODE_COS|Returns the cosine of a number.|9yjFZ|HID_FUNC_COS|Returns the cosine of the given angle (in radians).|
SIN|a63gy|SC_OPCODE_SIN|Returns the sine of a number.|zzPF6|HID_FUNC_SIN|Returns the sine of the given angle (in radians).|
RADIANS|YhMXw|SC_OPCODE_RAD|Converts degrees to radians|cLhVs|HID_FUNC_RAD|Converts degrees to radians.|
DEGREES|yCbKX|SC_OPCODE_DEG|Converts a radian to degrees|uUqNJ|HID_FUNC_DEG|Converts radians into degrees.|
CURRENT|Ksu9B|SC_OPCODE_CURRENT|Calculates the current value of the formula at the present location. |CQG9E|HID_FUNC_AKTUELL|This function returns the result to date of evaluating the formula of which it is a part (in other words the result as far as that evaluation has got). Its main use is together with the STYLE() function to apply selected styles to a cell depending on the cell contents.|
NA|JNAxh|SC_OPCODE_NO_VALUE|Not available. Returns the error value #N/A.|sLFGW|HID_FUNC_NV|Returns the error value #N/A.|
NOW|Trn4m|SC_OPCODE_GET_ACT_TIME|Determines the current time of the computer.|jPR2m|HID_FUNC_JETZT|Returns the computer system date and time. The value is updated when you recalculate the document or each time a cell value is modified.|
TODAY|BMTTR|SC_OPCODE_GET_ACT_DATE|Determines the current date of the computer.|ETD4G|HID_FUNC_HEUTE|Returns the current computer system date. The value is updated when you reopen the document or modify the values of the document.|
FALSE|5S9cg|SC_OPCODE_FALSE|Defines the logical value as FALSE.|qTShX|HID_FUNC_FALSCH|Returns the logical value FALSE. The FALSE() function does not require any arguments, and always returns the logical value FALSE.|
TRUE|ysdGP|SC_OPCODE_TRUE|Returns the logical value TRUE.|hzpBX|HID_FUNC_WAHR|The logical value is set to TRUE. The TRUE() function does not require any arguments, and always returns the logical value TRUE.|
RAND|wxSV9|SC_OPCODE_RANDOM|Returns a random number between 0 and 1.|ujsfF|HID_FUNC_ZUFALLSZAHL|Returns a random number between 0 and 1.The value of 0 can be returned, the value of 1 not.this is really true after issue 53642 will be fixed|
PI|6CPJv|SC_OPCODE_PI|Returns the value of the number Pi.|kRL3K|HID_FUNC_PI|Returns 3.14159265358979, the value of the mathematical constant PI to 14 decimal places.|
NOT|8V8Nc|SC_OPCODE_NOT|Reverses the value of the argument.|rPDCN|HID_FUNC_NICHT|Complements (inverts) a logical value.|
XOR|dbDzF|SC_OPCODE_XOR|Returns TRUE if an odd number of arguments evaluates to TRUE.|9QUTZ|HID_FUNC_XOR|Returns true if an odd number of arguments evaluates to TRUE.The arguments are either logical expressions themselves (TRUE, 1&lt;5, 2+3=7, B8&lt;10) that return logical values, or arrays (A1:C3) containing logical values.|
OR|QE2MV|SC_OPCODE_OR|Returns TRUE if an argument is TRUE.|ovDuk|HID_FUNC_ODER|Returns TRUE if at least one argument is TRUE. This function returns the value FALSE, if all the arguments have the logical value FALSE.The arguments are either logical expressions themselves (TRUE, 1&lt;5, 2+3=7, B8&lt;10) that return logical values, or arrays (A1:C3) containing logical values.|
AND|7QEfB|SC_OPCODE_AND|Returns TRUE if all arguments are TRUE.|dYoGs|HID_FUNC_UND|Returns TRUE if all arguments are TRUE. If one of the elements is FALSE, this function returns the FALSE value.The arguments are either logical expressions themselves (TRUE, 1&lt;5, 2+3=7, B8&lt;10) that return logical values, or arrays (A1:C3) containing logical values.|
CHOOSE|Bcjdw|SC_OPCODE_CHOOSE|Selects a value from a list of up to 30 value arguments.|6Qg6x|HID_FUNC_WAHL|Uses an index to return a value from a list of up to 30 values.|
IFNA|dRpWD|SC_OPCODE_IF_NA|Returns value if not a #N/A error, else alternative.|Fxkga|HID_FUNC_IFNA|Returns the value if the cell does not contains the #N/A (value not available) error value, or the alternative value if it does.|
IFERROR|8cpho|SC_OPCODE_IF_ERROR|Returns value if not an error value, else alternative.|kmGEE|HID_FUNC_IFERROR|Returns the value if the cell does not contains an error value, or the alternative value if it does.|
IF|RHSqm|SC_OPCODE_IF|Specifies a logical test to be performed.|QAFnh|HID_FUNC_WENN|Specifies a logical test to be performed.|
ROT13|QCbCd|DATE_FUNCNAME_Rot13|Encrypts or decrypts a text using the ROT13 algorithm|4wRUM|DATE_FUNCDESC_Rot13||
WEEKSINYEAR|5Te2e|DATE_FUNCNAME_WeeksInYear|Returns the number of weeks of the year in which the date entered occurs|3XCdG|DATE_FUNCDESC_WeeksInYear||
DAYSINYEAR|vE7vk|DATE_FUNCNAME_DaysInYear|Returns the number of days of the year in which the date entered occurs.|KCA2C|DATE_FUNCDESC_DaysInYear||
DAYSINMONTH|EpbA3|DATE_FUNCNAME_DaysInMonth|Returns the number of days of the month in which the date entered occurs|KQLCb|DATE_FUNCDESC_DaysInMonth||
ISLEAPYEAR|Qwaut|DATE_FUNCNAME_IsLeapYear|Returns 1 (TRUE) if the date is a day of a leap year, otherwise 0 (FALSE).|kt3PZ|DATE_FUNCDESC_IsLeapYear||
YEARS|BLYYA|DATE_FUNCNAME_DiffYears|Calculates the number of years in a specific period.|ni77P|DATE_FUNCDESC_DiffYears||
MONTHS|F5CeW|DATE_FUNCNAME_DiffMonths|Determines the number of months in a specific period.|FqH9T|DATE_FUNCDESC_DiffMonths||
WEEKS|pkA8s|DATE_FUNCNAME_DiffWeeks|Calculates the number of weeks in a specific period|c9Yb3|DATE_FUNCDESC_DiffWeeks||
FACTDOUBLE|CjDvf|ANALYSIS_FUNCNAME_Factdouble|Returns the double factorial of Number|6eGE3|ANALYSIS_Factdouble||
CONVERT|TNWeA|ANALYSIS_FUNCNAME_Convert|Converts a number from one measurement system to another|W5E64|ANALYSIS_Convert||
OCT2HEX|CRsqb|ANALYSIS_FUNCNAME_Oct2Hex|Converts an octal number to a hexadecimal number|Jrzq3|ANALYSIS_Oct2Hex||
OCT2DEC|BeZUW|ANALYSIS_FUNCNAME_Oct2Dec|Converts an octal number to a decimal number|z6LSc|ANALYSIS_Oct2Dec||
OCT2BIN|kjrZm|ANALYSIS_FUNCNAME_Oct2Bin|Converts an octal number to a binary number|GRuNw|ANALYSIS_Oct2Bin||
COMPLEX|mDhAE|ANALYSIS_FUNCNAME_Complex|Converts real and imaginary coefficients into a complex number|UFYAz|ANALYSIS_Complex||
IMCSCH|Gk9GH|ANALYSIS_FUNCNAME_Imcsch|Returns the hyperbolic cosecant of a complex number|AaL4p|ANALYSIS_Imcsch||
IMSECH|BZqDR|ANALYSIS_FUNCNAME_Imsech|Returns the hyperbolic secant of a complex number|E2PFF|ANALYSIS_Imsech||
IMCOSH|ErNKG|ANALYSIS_FUNCNAME_Imcosh|Returns the hyperbolic cosine of a complex number|cyJtB|ANALYSIS_Imcosh||
IMSINH|ZwUUB|ANALYSIS_FUNCNAME_Imsinh|Returns the hyperbolic sine of a complex number|myVrC|ANALYSIS_Imsinh||
IMCOT|k2mSC|ANALYSIS_FUNCNAME_Imcot|Returns the cotangent of a complex number|EyNFt|ANALYSIS_Imcot||
IMCSC|tFG7J|ANALYSIS_FUNCNAME_Imcsc|Returns the cosecant of a complex number|PrEHE|ANALYSIS_Imcsc||
